trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'e': 0.1592945937788737, 'a': 0.1}",20,15,7.356790264298028,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'e': 0.1585001086779083, 'a': 0.1}",20,4,-2.3949860081058043,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
107,False,"{'e': 0.15598428718166135, 'a': 0.1}",25,0,22.13448413118498,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'e': 0.15213302140894833, 'a': 0.1}",20,16,10.359845136662207,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'e': 0.15152570476635302, 'a': 0.1}",25,0,28.822447209237808,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
110,False,"{'e': 0.14778452178570287, 'a': 0.1}",20,12,-8.19520362823619,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
111,False,"{'e': 0.14660696213035015, 'a': 0.1}",20,0,14.451798330776327,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
112,False,"{'e': 0.14370394977770293, 'a': 0.1}",20,4,-10.58667931499364,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'e': 0.14142298297609007, 'a': 0.1}",25,11,-3.9746643288405332,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'e': 0.13945685621505094, 'a': 0.1}",20,0,-1.483315349072794,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
115,False,"{'e': 0.13669542544552385, 'a': 0.1}",30,1,37.969966743934854,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'e': 0.13278818689504915, 'a': 0.1}",30,13,19.5096006346311,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'e': 0.13054986733998764, 'a': 0.1}",20,11,9.687242515032677,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'e': 0.12938018997737108, 'a': 0.1}",20,14,8.805435961952494,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'e': 0.12860623303021773, 'a': 0.1}",20,0,-11.336892351657424,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
120,False,"{'e': 0.12605965899519883, 'a': 0.1}",25,13,20.438239377308,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'e': 0.12455598318617699, 'a': 0.1}",25,15,9.4017899420325,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'e': 0.12331663044593871, 'a': 0.1}",25,1,26.46382128134668,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'e': 0.12039226407986708, 'a': 0.1}",20,4,-16.56009198810006,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'e': 0.11848131620430775, 'a': 0.1}",25,15,18.27887792245719,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'e': 0.11730240741045748, 'a': 0.1}",25,12,23.7279487856141,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'e': 0.1157873453545488, 'a': 0.1}",25,11,16.510182199154222,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'e': 0.1141776169108365, 'a': 0.1}",25,6,18.805797149065544,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'e': 0.11202872134297796, 'a': 0.1}",25,0,-22.75060902672995,"{0: 21, 1: 2, 2: 0, 3: 2, 4: 0}",0
129,False,"{'e': 0.10926272235766643, 'a': 0.1}",25,13,7.7781153051643805,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'e': 0.10795940523189702, 'a': 0.1}",25,13,8.962862878344687,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'e': 0.10667163444703576, 'a': 0.1}",20,5,23.968255700819718,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'e': 0.10508350071074826, 'a': 0.1}",30,15,25.983311539000873,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'e': 0.10351901120544502, 'a': 0.1}",20,8,11.889594662141025,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'e': 0.10228420671553744, 'a': 0.1}",30,12,29.13940345925709,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'e': 0.1004595620616821, 'a': 0.1}",20,15,7.533698727955379,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'e': 0.09995851790560546, 'a': 0.1}",20,0,32.03694770071392,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'e': 0.09797920663678401, 'a': 0.1}",30,18,-14.328515476854534,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
