trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'e': 0.3243279771631298, 'a': 0.2}",20,12,-28.05015474772421,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
65,False,"{'e': 0.32174370422037013, 'a': 0.2}",25,17,7.325227804421889,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'e': 0.31918002298450265, 'a': 0.2}",20,8,19.75649619893018,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'e': 0.31537275202160797, 'a': 0.2}",25,0,-1.4383900412092434,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
68,False,"{'e': 0.3075861710303276, 'a': 0.2}",20,0,-75.44305554735416,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
69,False,"{'e': 0.3014955567714318, 'a': 0.2}",25,7,18.225533678714303,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'e': 0.29611718729007014, 'a': 0.2}",20,9,17.401520030004395,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'e': 0.2928777478112949, 'a': 0.2}",35,20,-19.21101912122547,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
72,False,"{'e': 0.2885173662129613, 'a': 0.2}",20,5,16.156037623154536,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'e': 0.28422190223921745, 'a': 0.2}",30,19,19.819276984933566,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'e': 0.281112593862786, 'a': 0.2}",20,6,-28.940343083512936,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'e': 0.2772044384694566, 'a': 0.2}",20,7,-10.081747783402053,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
76,False,"{'e': 0.27362410337040804, 'a': 0.2}",25,0,10.519131542284397,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
77,False,"{'e': 0.2668683001870241, 'a': 0.2}",20,0,-52.94061169468068,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
78,False,"{'e': 0.26158395379094995, 'a': 0.2}",25,13,10.984354039648512,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'e': 0.25846370527942, 'a': 0.2}",20,6,-27.395662585093405,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'e': 0.25487042505711616, 'a': 0.2}",20,12,15.10757684880463,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'e': 0.25283959580474646, 'a': 0.2}",30,8,-88.31551938941607,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 2}",1
82,False,"{'e': 0.24733786563028815, 'a': 0.2}",25,0,24.015413716166503,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
83,False,"{'e': 0.24123107196915192, 'a': 0.2}",25,14,8.131236500531235,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'e': 0.2385920712910904, 'a': 0.2}",30,18,11.500044755667016,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
